"geneSym","meta2d_pvalue","meta2d_BH.Q","meta2d_period","meta2d_phase","meta2d_Base","meta2d_AMP","meta2d_rAMP","GSM1321185","GSM1321186","GSM1321187","GSM1321188","GSM1321189","GSM1321190","GSM1321191","GSM1321192","GSM1321193","GSM1321194","GSM1321195","GSM1321196"
"Ahctf1",1.39980027569209e-10,5.02740389924322e-08,24,20.323825048399,2072.04583333333,407.211198794035,0.196526154124182,2467.9,2065.5,1940.1,1643,1707.5,1528.4,1905.1,2046.6,2279,2505.3,2403.6,2283.9
"Ankrd23",1.48704049074411e-10,5.28732116888975e-08,24,21.961739533709,124.770833333333,32.0051402262729,0.256511392696794,146.7,125.5,116.4,103.1,94.4,75.8,98.9,116.8,135.1,153.3,146.6,139.7
"Wrnip1",1.70415903610888e-10,5.99931472157299e-08,24,22.7197695817778,440.291666666667,110.168514623211,0.250217124156059,594.3,488.2,479.1,426.3,347.7,328.2,310.4,345.4,402.6,457.7,491.7,524.4
"Rbm45",1.79731229899005e-10,6.26521922577355e-08,24,22.0136767640066,404.358333333333,60.3072991775809,0.149143208402401,447.4,415,431,362.9,396.8,286.2,355.8,366.5,434,437,447,465.8
"Slc16a12",1.82216464139628e-10,6.29018310577537e-08,24,14.2930118889353,1921.19583333333,586.354416876842,0.305202836016721,1348.6,1297.9,1231.4,1496.1,2143.8,2271.3,2800.3,2440.9,2381.9,1980.6,1826.1,1629.6
"Fam210b",1.84039561368365e-10,6.29202946539769e-08,24,22.8521801501415,1642.43333333333,238.798182421278,0.145392922546594,1750.2,1753.5,1708.1,1609.6,1568.4,1209.8,1447.6,1383.3,1566.6,1735.2,1846,1887.3
"Wdr46",1.919354675195e-10,6.43854067098696e-08,24,22.5126957005479,447.916666666667,62.964728710078,0.140572417585291,522,461.8,455.4,422,403.1,366.6,396.2,407.9,420.4,470.6,499.2,497.7
"Rhbdd2",1.9424339914309e-10,6.43854067098696e-08,24,14.117768748414,584.941666666667,113.203926632243,0.193530283587667,450.4,463.9,499,531.3,579.7,665.1,757.9,658.5,683.9,598.7,545.7,552.4
"Nat8",1.94854687940449e-10,6.43854067098696e-08,24,20.9885888220678,983.3875,262.350497003306,0.266782419954805,1021.4,1089.5,881.9,809.3,717.6,697.6,898.9,994.6,1138.6,1235.3,1230.3,1250.7
"Tfpi2",2.0172208348157e-10,6.58021137639515e-08,24,23.1295527897312,1430.64166666667,443.326311569152,0.309879351271855,1696.2,1748.4,1599.4,1470.4,1178.3,935.9,1136.1,1084.8,1279.3,1757.5,1900.1,1884.4
"Pdxk",2.14670836662378e-10,6.9389420621523e-08,24,16.1159627491219,1566.725,382.704262603747,0.244270221387765,1326.7,1174.1,1111.7,1184.1,1352,1444.5,1648.4,2050.8,2257.5,1778.3,1657.5,1648
"Mthfr",2.25298668610208e-10,7.21686437937346e-08,24,21.979670230446,204.825,99.3503115189695,0.485049732791258,368.5,216.8,156.4,178.4,132.2,116.2,110.2,157.2,176.6,239.5,325.9,282.5
"S100a10",2.31873631406643e-10,7.29601667105716e-08,24,23.8122945639088,4991.52083333333,1359.68632795487,0.272399209249994,6050.7,6043.2,6352.8,4943.1,4844.3,3010.1,3741.7,3946.3,4745.6,5214.4,5826.8,6111.4
"Sumo3",2.35818142790833e-10,7.3550437588341e-08,24,23.1950544683676,917.929166666667,214.571654929538,0.233756222943351,1120,1070.4,1093,932.7,758.9,632.1,665.5,715.7,925.5,942,1055.9,1073.6
"Gldc",2.45450215707876e-10,7.58889379974718e-08,24,21.9235279874821,2471.09583333333,698.975458299278,0.282860522392776,3004,2809.5,3016.6,2433.4,1770.7,1303.3,1840,2519.8,2770,2802.1,3044.7,3117.1
"Acbd4",2.52153187219051e-10,7.72892993513842e-08,24,21.4394269314085,145.75,18.7933984052344,0.128942699178281,157.2,146.2,154.5,130.7,128.1,119.5,134.9,132.7,153.3,154,165.4,160
"Smagp",2.61877297624835e-10,7.95838392679371e-08,24,0.38029088484285,550.525,158.98104185581,0.288780785351819,878.2,689.7,696,613.5,445.9,422.5,388.5,362.9,461.4,480,599.4,598.2
"Fkbp5",2.71008882002377e-10,8.1660947529462e-08,24,14.3019066282304,540.55,274.608553747541,0.508016934136604,265,320.3,234.8,428.7,452.7,718.9,933.1,820.9,644.6,582.1,407.1,414.3
"Marveld1",2.79972600658596e-10,8.36529898236725e-08,24,15.36118933717,1201.90833333333,357.71979350385,0.297626519080504,1016.8,738.3,700.7,827.1,1230.6,1280.9,1597.9,1612.3,1665.2,1336.3,1146.3,1115.8
"6430573F11Rik",2.92098678578157e-10,8.65488384627078e-08,24,1.1911105626777,160.445833333333,50.7989949383485,0.316611493629824,198.5,233.8,234,153.2,139.4,111.7,115.1,104,135.3,147.3,189.5,171.3
"Sfxn1",2.94699042946434e-10,8.65976790992016e-08,24,18.5972570383071,3254.61666666667,367.116648187871,0.112798736621682,3286.4,3046.4,3007.8,2895.3,2827.1,3010.9,3139.4,3450.7,3594,3753.9,3521.3,3389.3
